device: cuda
  [Transfer] Loading previous stage checkpoint from checkpoints/mappo_s0
  [Transfer] Shape mismatch for critic.0.weight: checkpoint torch.Size([64, 135]) vs model torch.Size([64, 306]). Reinitializing.
  [Transfer] Loaded 11 matching layers from checkpoints/mappo_s0/policy.pt
  [Exploration] RND Module initialized.
num_updates: 323
[2026-08-08 23:51:52 UTC] Training started: run_name=mappo_s1, total_timesteps=663288
update=1 step=256 sps=87 mean_reward=-0.9359
update=2 step=512 sps=93 mean_reward=-0.8325
update=3 step=768 sps=94 mean_reward=-0.8050
update=4 step=1024 sps=93 mean_reward=-0.9169
update=5 step=1280 sps=93 mean_reward=-0.8642
update=6 step=1536 sps=93 mean_reward=-0.9795
update=7 step=1792 sps=93 mean_reward=-0.7700
update=8 step=2048 sps=93 mean_reward=-0.9058
update=9 step=2304 sps=93 mean_reward=-0.8237
update=10 step=2560 sps=93 mean_reward=-0.9306
update=11 step=2816 sps=93 mean_reward=-0.9156
update=12 step=3072 sps=93 mean_reward=-0.8903
update=13 step=3328 sps=93 mean_reward=-0.9189
update=14 step=3584 sps=93 mean_reward=-0.8555
update=15 step=3840 sps=93 mean_reward=-0.9352
update=16 step=4096 sps=93 mean_reward=-0.9230
update=17 step=4352 sps=93 mean_reward=-1.0022
update=18 step=4608 sps=93 mean_reward=-0.8678
update=19 step=4864 sps=93 mean_reward=-0.8282
update=20 step=5120 sps=93 mean_reward=-0.8646
  eval@5120: win_rate=0.000 return=-9.171 len=10.8
update=21 step=5376 sps=91 mean_reward=-0.8231
update=22 step=5632 sps=91 mean_reward=-0.8912
update=23 step=5888 sps=91 mean_reward=-0.9641
update=24 step=6144 sps=91 mean_reward=-0.8681
update=25 step=6400 sps=91 mean_reward=-0.8089
update=26 step=6656 sps=91 mean_reward=-0.9549
update=27 step=6912 sps=92 mean_reward=-0.8387
update=28 step=7168 sps=92 mean_reward=-0.8818
update=29 step=7424 sps=92 mean_reward=-0.9241
update=30 step=7680 sps=92 mean_reward=-0.8923
update=31 step=7936 sps=92 mean_reward=-0.8616
update=32 step=8192 sps=92 mean_reward=-0.9138
update=33 step=8448 sps=93 mean_reward=-0.7662
update=34 step=8704 sps=93 mean_reward=-0.8324
update=35 step=8960 sps=93 mean_reward=-0.8232
update=36 step=9216 sps=93 mean_reward=-0.9265
update=37 step=9472 sps=93 mean_reward=-0.7930
update=38 step=9728 sps=93 mean_reward=-0.8042
update=39 step=9984 sps=93 mean_reward=-0.9684
update=40 step=10240 sps=94 mean_reward=-0.8426
  eval@10240: win_rate=0.050 return=-8.048 len=11.5
update=41 step=10496 sps=93 mean_reward=-0.8560
update=42 step=10752 sps=93 mean_reward=-0.9499
update=43 step=11008 sps=93 mean_reward=-0.8497
update=44 step=11264 sps=93 mean_reward=-0.8991
update=45 step=11520 sps=93 mean_reward=-0.8512
update=46 step=11776 sps=93 mean_reward=-0.8595
update=47 step=12032 sps=93 mean_reward=-0.8726
update=48 step=12288 sps=94 mean_reward=-0.7672
update=49 step=12544 sps=94 mean_reward=-0.8274
update=50 step=12800 sps=94 mean_reward=-0.7760
update=51 step=13056 sps=94 mean_reward=-0.7819
update=52 step=13312 sps=94 mean_reward=-0.8337
update=53 step=13568 sps=94 mean_reward=-0.8377
update=54 step=13824 sps=94 mean_reward=-0.7295
update=55 step=14080 sps=94 mean_reward=-0.9574
update=56 step=14336 sps=94 mean_reward=-0.9391
update=57 step=14592 sps=94 mean_reward=-0.8624
update=58 step=14848 sps=94 mean_reward=-0.8637
update=59 step=15104 sps=94 mean_reward=-0.7813
update=60 step=15360 sps=94 mean_reward=-0.8119
  eval@15360: win_rate=0.050 return=-7.950 len=12.4
update=61 step=15616 sps=94 mean_reward=-0.7929
update=62 step=15872 sps=94 mean_reward=-0.8926
update=63 step=16128 sps=94 mean_reward=-0.8546
update=64 step=16384 sps=94 mean_reward=-0.8396
update=65 step=16640 sps=94 mean_reward=-0.8259
update=66 step=16896 sps=94 mean_reward=-0.9229
update=67 step=17152 sps=94 mean_reward=-0.7804
update=68 step=17408 sps=94 mean_reward=-0.8241
update=69 step=17664 sps=94 mean_reward=-0.8728
update=70 step=17920 sps=94 mean_reward=-0.8695
update=71 step=18176 sps=94 mean_reward=-0.8496
update=72 step=18432 sps=94 mean_reward=-0.8238
update=73 step=18688 sps=94 mean_reward=-0.8314
update=74 step=18944 sps=94 mean_reward=-0.7850
update=75 step=19200 sps=94 mean_reward=-0.8299
update=76 step=19456 sps=94 mean_reward=-0.8513
update=77 step=19712 sps=94 mean_reward=-0.8637
update=78 step=19968 sps=94 mean_reward=-0.8644
update=79 step=20224 sps=94 mean_reward=-0.8360
update=80 step=20480 sps=95 mean_reward=-0.8643
  eval@20480: win_rate=0.050 return=-7.950 len=12.4
update=81 step=20736 sps=94 mean_reward=-0.9674
update=82 step=20992 sps=94 mean_reward=-0.8580
update=83 step=21248 sps=94 mean_reward=-0.9767
update=84 step=21504 sps=94 mean_reward=-0.8615
update=85 step=21760 sps=94 mean_reward=-0.8831
update=86 step=22016 sps=94 mean_reward=-0.8980
update=87 step=22272 sps=94 mean_reward=-0.9010
update=88 step=22528 sps=94 mean_reward=-0.8808
update=89 step=22784 sps=94 mean_reward=-0.8395
update=90 step=23040 sps=94 mean_reward=-0.8809
update=91 step=23296 sps=94 mean_reward=-0.8202
update=92 step=23552 sps=94 mean_reward=-0.8314
update=93 step=23808 sps=95 mean_reward=-0.9026
update=94 step=24064 sps=94 mean_reward=-0.9788
update=95 step=24320 sps=94 mean_reward=-0.8745
update=96 step=24576 sps=94 mean_reward=-0.9355
update=97 step=24832 sps=94 mean_reward=-0.8333
update=98 step=25088 sps=95 mean_reward=-0.9147
update=99 step=25344 sps=95 mean_reward=-0.8084
update=100 step=25600 sps=95 mean_reward=-0.8671
  eval@25600: win_rate=0.050 return=-7.905 len=11.1
update=101 step=25856 sps=94 mean_reward=-0.8567
update=102 step=26112 sps=94 mean_reward=-0.8688
update=103 step=26368 sps=94 mean_reward=-0.8502
update=104 step=26624 sps=94 mean_reward=-0.9076
update=105 step=26880 sps=94 mean_reward=-0.8873
update=106 step=27136 sps=94 mean_reward=-0.7171
update=107 step=27392 sps=94 mean_reward=-0.8208
update=108 step=27648 sps=94 mean_reward=-0.7628
update=109 step=27904 sps=94 mean_reward=-0.7222
update=110 step=28160 sps=95 mean_reward=-0.7014
update=111 step=28416 sps=95 mean_reward=-0.8412
update=112 step=28672 sps=95 mean_reward=-0.9007
update=113 step=28928 sps=95 mean_reward=-0.7970
update=114 step=29184 sps=95 mean_reward=-0.7710
update=115 step=29440 sps=95 mean_reward=-0.8074
update=116 step=29696 sps=95 mean_reward=-0.7313
update=117 step=29952 sps=95 mean_reward=-0.8163
update=118 step=30208 sps=95 mean_reward=-0.8129
update=119 step=30464 sps=95 mean_reward=-0.8548
update=120 step=30720 sps=95 mean_reward=-0.7882
  eval@30720: win_rate=0.050 return=-7.738 len=10.5
update=121 step=30976 sps=95 mean_reward=-0.8494
update=122 step=31232 sps=95 mean_reward=-0.8185
update=123 step=31488 sps=95 mean_reward=-0.7469
update=124 step=31744 sps=95 mean_reward=-0.7513
update=125 step=32000 sps=95 mean_reward=-0.8228
update=126 step=32256 sps=95 mean_reward=-0.7396
update=127 step=32512 sps=95 mean_reward=-0.7419
update=128 step=32768 sps=95 mean_reward=-0.7942
update=129 step=33024 sps=95 mean_reward=-0.6927
update=130 step=33280 sps=95 mean_reward=-0.7964
